Pulled,Slug,Venue,Location,PriceRange,PdfUrl,PdfFile,Sha,Bytes,Pages,PriceCount,Prices,LastChanged
2026-09-05,ah-ma,AHMA,Disneytown,¥¥ (RMB 51 - 100 per adult),,,,,,,,
2026-09-05,andys-backyard-games-food-kiosk,Lotso Lunch Box,Disney•Pixar Toy Story Land,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/lotso_lunch_box0818.pdf,lotso_lunch_box0818.pdf,d9b68c16e7a3926a,2342185,2,22,5 5 10 10 10 10 15 15 20 20 25 25 25 35 35 35 35 45 58 68 85 95,2026-09-05
2026-09-05,aurora,Aurora,Shanghai Disneyland Hotel,¥¥¥¥¥ (RMB 501- 1000 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/aurora-beverage-2024spring.pdf,aurora-beverage-2024spring.pdf,c84da05dccfb489c,815102,8,70,12 12 15 21 23 30 38 38 38 38 45 45 45 48 48 48 48 48 48 48 48 48 58 58 68 68 68 68 78 78 78 78 78 88 88 88 88 88 88 88 98 98 98 100 100 118 120 128 128 128 128 150 150 180 180 180 180 180 180 190 200 228 228 270 280 296 330 330 330 750,2026-09-05
2026-09-05,aurora,Aurora,Shanghai Disneyland Hotel,¥¥¥¥¥ (RMB 501- 1000 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/aurora-wine-2024spring.pdf,aurora-wine-2024spring.pdf,773232cf0606675c,1136524,25,57,5 6 7 8 9 10 10 11 12 13 14 15 16 17 18 19 20 20 21 22 23 24 25 25 100 280 280 380 380 480 480 480 480 480 680 680 680 680 680 680 680 680 680 680 880 880 880 880 880 880 880 880 880 880 880 880 1884,2026-09-05
2026-09-05,aurora,Aurora,Shanghai Disneyland Hotel,¥¥¥¥¥ (RMB 501- 1000 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/aurora.pdf,aurora.pdf,e0e454d5ccd26cd6,83366012,23,71,8 8 10 10 58 58 58 68 68 90 90 90 98 98 100 108 108 108 110 120 120 140 140 150 170 180 198 200 200 220 220 220 220 230 238 240 245 250 250 288 288 320 350 350 360 370 388 388 388 500 588 588 588 588 588 588 688 688 788 843 843 988 988 1021 1021 1088 1088 1300 1300 1588 1588,2026-09-05
2026-09-05,bacchus-lounge,Bacchus Lounge,Shanghai Disneyland Hotel,¥¥¥ (RMB 101 - 300 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/bacchus_lounge0709.pdf,bacchus_lounge0709.pdf,6a9d5ac908212e52,10799872,2,9,48 58 68 68 88 108 108 138 168,2026-09-05
2026-09-05,ballet-cafe,Ballet Cafe,Shanghai Disneyland Hotel,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/ballet_cafe0709.pdf,ballet_cafe0709.pdf,6a9d5ac908212e52,10799872,2,9,48 58 68 68 88 108 108 138 168,2026-09-05
2026-09-05,barbossas-bounty,Barbossa's Bounty,Treasure Cove,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/barbossas_bounty0901.pdf,barbossas_bounty0901.pdf,516b3826ef6db615,30586573,3,35,5 10 18 20 20 23 25 25 25 25 30 30 30 35 40 40 40 50 55 70 75 75 85 85 89 109 109 119 119 119 129 139 329 459 1750,2026-09-05
2026-09-05,blue-frog-bar-grill,blue frog bar & grill,Disneytown,¥¥¥ (RMB 101 - 300 per adult),,,,,,,,
2026-09-05,captain-s-kettle,Captain’s Kettle,Treasure Cove,,https://static.shanghaidisneyresort.com/web-img-gallery/captains_kettle.pdf,captains_kettle.pdf,5e7a5763625f0225,1704070,1,2,40 85,2026-09-05
2026-09-05,chip-dales-treehouse,Chip & Dale's Treehouse Treats,Mickey Avenue,¥ (RMB 1-50 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/chip_n_dales_treehouse_treats0705.pdf,chip_n_dales_treehouse_treats0705.pdf,0ca310742daebfb6,8385181,1,0,,2026-09-05
2026-09-05,chipmunk-snacks,Chipmunk Snacks,Adventure Isle,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/chipmunk_snacks0818.pdf,chipmunk_snacks0818.pdf,0bba5d0519751cd6,1931143,1,15,5 5 7 10 15 15 30 35 35 50 68 73 75 75 500,2026-09-05
2026-09-05,chua-lams-dim-sum,Chua Lam's Dim Sum,Disneytown,¥¥¥ (RMB 101 - 300 per adult),,,,,,,,
2026-09-05,cookieann-bakery-cafe,CookieAnn Bakery Café,Mickey Avenue,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/cookieann_bakery_cafe0901.pdf,cookieann_bakery_cafe0901.pdf,9c1fbe647d190388,7721354,4,20,10 15 30 35 35 40 45 45 45 50 50 58 58 68 68 68 68 68 98 158,2026-09-05
2026-09-05,coucou,COUCOU,Disneytown,¥¥¥ (RMB 101 - 300 per adult),,,,,,,,
2026-09-05,donalds-dine-n-delights,Donald's Dine 'n Delights,Disneytown,¥¥¥ (RMB 101 - 300 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/donalds_dine_n_delights0901.pdf,donalds_dine_n_delights0901.pdf,d97cc3a5939b1da9,39589563,18,68,11 18 18 18 28 38 38 38 38 48 48 48 48 48 48 48 48 48 48 48 50 58 58 58 58 68 68 68 68 68 78 78 78 78 78 78 88 88 88 88 88 88 88 88 98 98 98 98 98 120 128 128 138 138 138 138 138 158 168 168 180 198 198 200 228 250 328 388,2026-09-05
2026-09-05,dondonya,DONDONYA,Disneytown,¥¥ (RMB 51 - 100 per adult),,,,,,,,
2026-09-05,duffy-and-friends-celebration-hall,Duffy and Friends Celebration Hall,Adventure Isle,¥¥¥ (RMB 101 - 300 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/duffy_and_friends_celebration_hall0901.pdf,duffy_and_friends_celebration_hall0901.pdf,35234eeffef8d43b,15381164,3,26,5 5 5 9 9 10 11 15 20 25 30 30 30 35 35 40 45 48 55 68 108 109 119 119 119 138,2026-09-05
2026-09-05,fairy-godmothers-cupboard,Fairy Godmother's Cupboard,Fantasyland,¥¥ (RMB 51 - 100 per adult),,,,,,,,
2026-09-05,fantasyland-mickey-mouse-hand-bun-outdoor-vending-cart,Fantasyland Mickey Mouse Hand Bun Outdoor Vending Cart,Fantasyland,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/fantasyland_mickey_mouse_hand_bun_outdoor_vending_cart.pdf,fantasyland_mickey_mouse_hand_bun_outdoor_vending_cart.pdf,93f8584aae66e16c,1449569,1,0,,2026-09-05
2026-09-05,ichigo,ICHIGO ICHIE,Disneytown,¥¥¥ (RMB 101 - 300 per adult),,,,,,,,
2026-09-05,il-paperino,Il Paperino,Mickey Avenue,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/il_paperino0901.pdf,il_paperino0901.pdf,c8a5d20cf3447820,7241293,3,18,35 35 58 58 58 58 58 58 68 68 68 68 68 68 70 78 88 158,2026-09-05
2026-09-05,ippudo,IPPUDO,Disneytown,¥¥ (RMB 51 - 100 per adult),,,,,,,,
2026-09-05,jumbeauxs-cafe,Jumbeaux's Cafe,Zootopia,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/jumbeauxs_cafe0901.pdf,jumbeauxs_cafe0901.pdf,bfedfc87d64db26b,1052330,1,20,10 15 15 15 30 35 35 45 45 58 58 58 58 75 75 98 98 100 188 208,2026-09-05
2026-09-05,kwei-mun-lung-jiangnan-market,Kwei Mun Lung·Jiangnan Market,Disneytown,¥¥ (RMB 51 - 100 per adult),,,,,,,,
2026-09-05,lian,LIAN,Disneytown,¥¥¥ (RMB 101 - 300 per adult),,,,,,,,
2026-09-05,lumieres-kitchen,Lumière’s Kitchen,Shanghai Disneyland Hotel,¥¥¥¥ (RMB 301- 500 per adult),,,,,,,,
2026-09-05,manner-coffee,MANNER COFFEE,Disneytown,¥ (RMB 1-50 per adult),,,,,,,,
2026-09-05,mickey-pals-market-cafe,Mickey & Pals Market Café,Mickey Avenue,¥¥¥ (RMB 101 - 300 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/mickey_n_pals_market_cafe0901.pdf,mickey_n_pals_market_cafe0901.pdf,0903f7724f548311,20926502,3,64,5 5 5 5 5 5 5 5 5 7 7 7 7 7 7 7 10 11 11 11 15 18 18 20 20 25 25 25 25 30 30 30 30 30 31 35 35 35 35 40 40 40 44 44 44 45 45 45 50 55 68 89 99 109 109 109 109 119 119 119 119 150 198 299,2026-09-05
2026-09-05,paper-stone-bakery,PAPER STONE BAKERY,Disneytown,¥ (RMB 1-50 per adult),,,,,,,,
2026-09-05,picnic-basket,Picnic Basket,Gardens of Imagination,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/picnic_basket.pdf,picnic_basket.pdf,b5d206b4ea095ee2,1341743,1,0,,2026-09-05
2026-09-05,pinocchio-village-kitchen,Pinocchio Village Kitchen,Fantasyland,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/pinocchio_village_kitchen0901.pdf,pinocchio_village_kitchen0901.pdf,f5049c21e62c722d,12041841,3,46,5 5 5 6 9 9 9 10 10 11 15 15 18 20 25 25 30 30 30 30 35 35 35 40 40 45 45 45 50 50 55 58 89 109 109 109 109 119 119 119 119 119 169 299 450 650,2026-09-05
2026-09-05,pintel-ragettis-grub-grab,Pintel & Ragetti's Grub to Grab,Treasure Cove,¥¥ (RMB 51 - 100 per adult),,,,,,,,
2026-09-05,pooh-and-friends-treats,Pooh and Friends Treats,Fantasyland,¥ (RMB 1-50 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/pooh_and_friends_treats0818.pdf,pooh_and_friends_treats0818.pdf,be6a55b782f83194,6293873,1,9,10 15 15 30 35 35 45 75 80,2026-09-05
2026-09-05,royal-banquet-hall,Royal Banquet Hall,Fantasyland,¥¥¥¥ (RMB 301- 500 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/royal_banquet_hall.pdf,royal_banquet_hall.pdf,c66925318e6f1b7a,14955704,5,10,18 68 68 68 298 298 428 428 658 788,2026-09-05
2026-09-05,snackin-kraken,The Snackin' Kraken,Treasure Cove,¥ (RMB 1-50 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/the_snackin_kraken0818.pdf,the_snackin_kraken0818.pdf,0bdc34dddc4d5914,7041713,1,10,10 15 15 15 30 35 35 45 55 68,2026-09-05
2026-09-05,star-trail-snacks,Star Trail Snacks,Tomorrowland,¥ (RMB 1-50 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/star_trail_snacks0818.pdf,star_trail_snacks0818.pdf,12ff20212b96d693,1288826,1,10,10 15 15 15 30 35 35 45 68 68,2026-09-05
2026-09-05,starbucks,Starbucks Disneytown Store,Disneytown,¥ (RMB 1-50 per adult),,,,,,,,
2026-09-05,stargazer-grill,Stargazer Grill,Tomorrowland,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/stargazer_grill0901new.pdf,stargazer_grill0901new.pdf,5c6f522d27b103a8,13952145,3,63,5 5 5 5 5 6 6 7 7 8 8 9 9 9 9 10 18 20 20 25 25 25 30 30 30 30 30 30 35 35 35 35 40 40 45 45 45 45 47 50 50 50 50 50 55 58 68 68 80 80 80 90 90 99 108 108 109 119 119 119 169 369 459,2026-09-05
2026-09-05,sunnyside-cafe,Sunnyside Café,Toy Story Hotel,¥¥¥ (RMB 101 - 300 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/sunnyside_cafe0709.pdf,sunnyside_cafe0709.pdf,fa1b6f44a085636c,10576245,2,22,20 20 25 30 30 30 35 40 55 78 88 98 98 108 108 108 108 108 109 118 408 408,2026-09-05
2026-09-05,sunnyside-market,Sunnyside Market,Toy Story Hotel,¥¥ (RMB 51 - 100 per adult),https://static.shanghaidisneyresort.com/web-img-gallery/sunnyside_market.pdf,sunnyside_market.pdf,c87fee52e69d853f,3957151,2,14,38 48 48 58 58 58 68 68 88 98 108 108 118 118,2026-09-05
